bands,wavelength [Hz],wavelength [Angstrom],color,reference_flux,sncosmo_name,label,effective_width [Hz]
cspg,6.28400e+14,4774.12000,black,5.68900e-06,cspg,CSP/g,2.27875e+15
cspv3009,5.54200e+14,5412.96000,black,3.45700e-06,cspv3009,CSP/V3009,3.29508e+15
cspv3014,5.57900e+14,5377.47000,black,3.68400e-06,cspv3014,CSP/V3014,3.13294e+15
cspv9844,5.57500e+14,5380.76000,black,3.35000e-06,cspv9844,CSP/V9844,3.46341e+15
cspr,4.81700e+14,6227.46000,black,3.20100e-06,cspr,CSP/r,2.43989e+15
cspi,3.93700e+14,7620.51000,black,2.37400e-06,cspi,CSP/i,2.49280e+15
cspyd,2.86800e+14,10458.72000,black,1.08800e-06,cspyd,CSP/WIRC/Y,2.63586e+15
cspys,2.89000e+14,10380.39000,black,1.26900e-06,cspys,CSP/Y,2.33714e+15
cspjd,2.41300e+14,12431.54000,black,1.26200e-06,cspjd,CSP/WIRC/J,1.63351e+15
cspjs,2.41200e+14,12437.23000,black,1.22700e-06,cspjs,CSP/J,1.67897e+15
csphd,1.84700e+14,16242.63000,black,9.95800e-07,csphd,CSP/WIRC/H,1.16149e+15
csphs,1.84600e+14,16255.91000,black,1.01500e-06,csphs,CSP/H,1.13946e+15
cspk,1.38900e+14,21593.57000,black,6.75800e-07,cspk,CSP/K,1.05531e+15
kepler,4.75900e+14,6303.36000,black,1.12600e-05,kepler,Kepler/K,8.49705e+14
keplercam::us,8.24700e+14,3637.49000,black,4.33200e-06,keplercam::us,Keplercam/u,4.59973e+15
keplercam::b,6.89300e+14,4352.04000,black,5.66200e-06,keplercam::b,Keplercam/B,2.92187e+15
keplercam::v,5.53700e+14,5417.67000,black,3.43400e-06,keplercam::v,Keplercam/V,3.18551e+15
keplercam::r,4.81300e+14,6233.01000,black,4.00600e-06,keplercam::r,Keplercam/r,2.12727e+15
