READ TERR 1 2
! xrtwtslewflux
87.0182936264804	0.320944378307047	-0.291063630855859	2.12150030914086e-08	2.6337729936689e-09	-2.57460736293259e-09
87.6852032255709	0.239384756232951	-0.34596522078354	1.96679467867057e-08	2.60153485018176e-09	-2.4834576753601e-09
88.2270115872743	0.382542422266312	-0.302423605470395	1.84427217232988e-08	3.30014734493626e-09	-2.76005536822667e-09
88.9424086766318	0.389429351902109	-0.332854667091198	1.69544828188669e-08	3.45034019183043e-09	-2.66561548142984e-09
89.8922461183995	0.494632865677971	-0.560408089865618	1.23906063598557e-08	2.11471341478364e-09	-1.7292555455007e-09
90.9016268996898	0.497609080923894	-0.514747915612304	1.33285074570091e-08	2.30882955239665e-09	-2.0958599885781e-09
91.8712969781354	0.396066050493928	-0.47206099752168	1.45570190239204e-08	2.2645837999861e-09	-4.16284219091106e-09
92.7182367183743	0.435164256002395	-0.450873689745009	1.39772199335491e-08	2.30947064890921e-09	-3.48227448227645e-09
93.6004807001499	0.476290277927049	-0.44707972577315	1.35110149348839e-08	2.19963048824004e-09	-3.64899947233179e-09
94.7031923308047	0.559402667078132	-0.62642135272776	1.44002469926446e-08	2.19395615902517e-09	-3.80046582671098e-09
NO NO NO NO NO NO
! xrtwtflux
103.100	0.394	-0.426	1.20588232714681e-08	2.63169131671763e-09	-2.77266725719359e-09
103.841	0.306	-0.347	1.52680393155285e-08	3.27575362575289e-09	-3.8049646330613e-09
104.492	0.435	-0.344	1.30030201534184e-08	2.8109952634068e-09	-3.06120953921674e-09
105.271	0.303	-0.345	1.54372612090286e-08	3.25522910033833e-09	-4.2556813354805e-09
106.094	0.477	-0.519	9.71164595254824e-09	2.03517106061252e-09	-2.8091024123976e-09
106.977	0.367	-0.407	1.19648749781071e-08	2.40351424398789e-09	-4.2452680661246e-09
107.720	0.386	-0.375	1.256658840382e-08	2.67093799587125e-09	-3.34653353733378e-09
108.534	0.528	-0.428	1.01639103558569e-08	1.96660930170199e-09	-3.7401430373609e-09
109.605	0.559	-0.544	8.89331644103351e-09	1.83386455000784e-09	-2.41643971710779e-09
110.598	0.490	-0.433	1.07926589182107e-08	2.04600746842322e-09	-4.37992411355948e-09
111.617	0.486	-0.529	9.42528500342279e-09	1.78308047979192e-09	-4.04529989547049e-09
112.487	0.348	-0.385	1.35196696855197e-08	2.72489855341547e-09	-3.6903228630243e-09
113.254	0.446	-0.419	1.326291527754e-08	2.63995384509595e-09	-3.55556115058988e-09
114.249	0.510	-0.549	1.17197756228903e-08	2.12445116013879e-09	-4.59369339469507e-09
115.372	0.616	-0.614	9.87625855985432e-09	1.93140875933165e-09	-3.21078757330404e-09
116.572	0.464	-0.584	1.13063817099171e-08	2.1760624741206e-09	-3.92273179324967e-09
117.518	0.384	-0.482	1.407627590604e-08	2.59998987689144e-09	-5.24047240794567e-09
118.350	0.408	-0.448	1.41889996749158e-08	2.70800438545727e-09	-3.76166541231695e-09
119.209	0.516	-0.452	1.24906222240419e-08	2.3918641277888e-09	-2.85902382007589e-09
120.260	0.599	-0.534	1.04901348403486e-08	1.94052272663518e-09	-3.55252879504209e-09
121.478	0.539	-0.619	9.97002490579109e-09	2.00994623665996e-09	-2.43544312256022e-09
122.679	0.573	-0.662	8.90643382792187e-09	1.78933507270953e-09	-2.31947988507654e-09
123.842	0.771	-0.59	8.39677761678557e-09	1.72374480168892e-09	-1.88276278003573e-09
125.224	0.565	-0.611	1.01281114928654e-08	1.96149738782541e-09	-2.93838620868232e-09
126.290	0.527	-0.501	1.17645155879213e-08	2.53417474768645e-09	-2.39078047076604e-09
127.480	0.595	-0.663	9.66872695710695e-09	1.99828934630616e-09	-1.88831308752071e-09
128.729	0.711	-0.654	8.5486688361518e-09	2.07720640805275e-09	-1.64535889483081e-09
130.086	0.650	-0.647	9.25095986771524e-09	2.26796350033965e-09	-1.72749008515156e-09
131.349	0.690	-0.612	8.91317664618706e-09	1.9049207956448e-09	-1.77784312302913e-09
132.735	0.683	-0.696	8.7102753023276e-09	1.98539847178998e-09	-1.65517378729268e-09
134.098	0.656	-0.68	8.99101744434196e-09	2.09743217589179e-09	-1.74042641931383e-09
135.424	0.687	-0.67	9.41041029734047e-09	1.90714164503893e-09	-1.88510577439726e-09
136.849	0.652	-0.738	9.28018632279572e-09	1.94880483748082e-09	-1.83731216432227e-09
138.299	0.595	-0.798	9.22331879426236e-09	2.20404049696207e-09	-1.75496972411533e-09
139.726	0.726	-0.832	8.00409907801591e-09	1.95428546941749e-09	-1.52468985045793e-09
140.939	0.581	-0.486	1.25548875681598e-08	3.04572241528875e-09	-2.33108489329831e-09
142.130	0.518	-0.61	1.19219230893076e-08	2.59981362569297e-09	-2.31541324987563e-09
143.340	0.882	-0.692	8.03493914407487e-09	1.9494239119577e-09	-1.52398661421687e-09
145.046	0.687	-0.823	8.06454697240975e-09	1.87841677058497e-09	-1.53061943675076e-09
146.395	0.626	-0.662	9.74927498703538e-09	2.26903423840242e-09	-1.86804098969784e-09
147.801	0.987	-0.78	7.39251507060818e-09	1.72578560507173e-09	-1.41004847553082e-09
149.393	0.661	-0.606	1.03549355169188e-08	2.12334666101157e-09	-2.44999816218942e-09
150.661	0.592	-0.607	1.06043044218737e-08	2.38245515251598e-09	-2.16713340764155e-09
152.009	0.955	-0.755	7.03592414838458e-09	1.53727812107979e-09	-1.52739605555833e-09
153.717	0.742	-0.754	7.92861615996798e-09	1.49069939026042e-09	-2.68469593645657e-09
155.294	0.903	-0.835	6.64486917862198e-09	1.34514917913338e-09	-1.75712555023092e-09
