READ TERR 1 2
! xrtwtslewflux
81.379362058304	0.306014960250678	-0.350471048122628	1.47443918813474e-08	1.8389818251227e-09	-1.79262958959206e-09
81.972356184743	0.250259848914084	-0.286979166188317	1.78335902091519e-08	2.22037909523363e-09	-2.16394795479472e-09
82.6580097943751	0.423927237473777	-0.435393760718014	1.0839214573186e-08	1.34647794926441e-09	-1.31504828450408e-09
83.3890337962007	0.388604238722891	-0.307096764351812	1.32634927637352e-08	1.64658712659104e-09	-1.59875336345597e-09
84.2405950140957	0.355400011642118	-0.462956979172091	1.05649160757873e-08	1.31099696972037e-09	-1.28242070401152e-09
85.0856691358767	0.46038089302732	-0.489674110138878	8.73145124044355e-09	1.0881239575523e-09	-1.05971795729563e-09
86.062066670261	0.624415358803233	-0.51601664135697	7.08032138666425e-09	8.85445401841504e-10	-8.59669620889528e-10
87.1374902587109	0.491961748209036	-0.451008229646661	8.52613376682758e-09	1.0687967423197e-09	-1.03573123451511e-09
88.1091888999666	0.484449119698183	-0.47973689304672	8.28807081437252e-09	1.02831358383629e-09	-1.00678592417854e-09
89.5252408191955	1.13489617850423	-0.931602799530651	6.64743255458233e-09	6.30326853613371e-10	-6.10467671280958e-10
NO NO NO NO NO NO
! xrtwtflux
98.127	0.288	-0.258	3.37324773647913e-09	5.02854678531964e-10	-5.02858127009384e-10
98.732	0.322	-0.317	4.32497634265446e-09	5.35623871583956e-10	-5.356293287411e-10
99.374	0.347	-0.32	4.21605991686212e-09	5.22135550694831e-10	-5.22141107511384e-10
100.032	0.290	-0.311	3.18406830402735e-09	4.84387544154042e-10	-4.84390778533523e-10
100.644	0.289	-0.321	3.23907216830282e-09	4.82852793759044e-10	-4.82856083045041e-10
101.180	0.276	-0.247	3.7301760281197e-09	5.61015785298811e-10	-5.61019411253617e-10
101.778	0.324	-0.322	2.93281567961211e-09	4.37198561112728e-10	-4.37201712280715e-10
102.453	0.405	-0.351	2.36861926477427e-09	3.67791895770527e-10	-3.67793854438001e-10
103.209	0.371	-0.351	2.44822578131965e-09	3.72445033832338e-10	-3.72447423547803e-10
103.990	0.320	-0.409	2.44569008404008e-09	3.72059273270904e-10	-3.72061420380202e-10
104.690	0.328	-0.38	2.50789275976524e-09	3.89418033522757e-10	-3.89419937529069e-10
105.376	0.387	-0.358	2.44498773753136e-09	3.71952442338627e-10	-3.71955213265488e-10
106.154	0.441	-0.391	2.2152410665345e-09	3.37001375804859e-10	-3.37003556800784e-10
106.969	0.324	-0.374	2.68151571805977e-09	3.99737085529199e-10	-3.99739807945725e-10
107.661	0.431	-0.368	2.28991868554379e-09	3.48362006640357e-10	-3.48364246836725e-10
108.468	0.396	-0.376	2.38613085365733e-09	3.55703728505123e-10	-3.55706180759877e-10
109.321	0.545	-0.457	1.82459211790281e-09	2.7199439500759e-10	-2.7199621931732e-10
110.281	0.343	-0.415	2.38256687650813e-09	3.62456478980871e-10	-3.62459109834775e-10
110.975	0.325	-0.351	2.71814262056666e-09	4.05197341107494e-10	-4.05200398387283e-10
111.749	0.364	-0.449	2.23176599794099e-09	3.39515317644902e-10	-3.39517654760806e-10
112.627	0.452	-0.514	1.87327398945637e-09	2.90876253370425e-10	-2.9087811597904e-10
113.505	0.399	-0.426	2.3420058166352e-09	3.49125965073017e-10	-3.4912833725337e-10
114.221	0.336	-0.317	3.04735703006189e-09	4.5427346679834e-10	-4.54276777108626e-10
114.973	0.415	-0.416	2.42750091319264e-09	3.69292208966862e-10	-3.6929497707156e-10
115.878	0.510	-0.49	1.98014435232023e-09	2.95182761183407e-10	-2.95184984578275e-10
116.902	0.531	-0.514	1.7978762452945e-09	2.73508305117413e-10	-2.73510366655226e-10
117.852	0.449	-0.419	2.12063617163558e-09	3.16126130451183e-10	-3.1612865749587e-10
118.850	0.573	-0.55	1.58930765939888e-09	2.41779069764809e-10	-2.41780991161832e-10
119.992	0.491	-0.569	1.65355387344764e-09	2.56758757668727e-10	-2.56760637805391e-10
121.026	0.522	-0.542	1.64523362945083e-09	2.55466836110097e-10	-2.55468637958103e-10
122.019	0.564	-0.471	1.71399167958332e-09	2.60747086097603e-10	-2.60748997446556e-10
123.262	0.573	-0.68	1.43636844499778e-09	2.14121408598303e-10	-2.14123204687491e-10
124.502	0.558	-0.666	1.46864550237656e-09	2.18932974967527e-10	-2.18934694900029e-10
125.580	0.492	-0.52	1.74784587539343e-09	2.65897291531699e-10	-2.65899271884438e-10
126.660	0.698	-0.588	1.3957239304584e-09	2.08062440047927e-10	-2.08064045695317e-10
128.015	0.654	-0.657	1.36808979763554e-09	2.03942982593982e-10	-2.03944549622532e-10
129.217	0.691	-0.547	1.42628952580521e-09	2.16979384903284e-10	-2.16981063277975e-10
130.483	0.749	-0.576	1.35213139646145e-09	2.01564049352515e-10	-2.01565801687847e-10
131.884	0.610	-0.651	1.39880376063754e-09	2.12798000335558e-10	-2.12799491094154e-10
133.217	0.818	-0.723	1.16233273320134e-09	1.73270518946068e-10	-1.73271822873386e-10
135.185	0.932	-1.15	8.47079032407427e-10	1.28864927258603e-10	-1.28865932855454e-10
136.986	0.724	-0.87	1.12365794007337e-09	1.67505202819015e-10	-1.67506618804563e-10
138.498	0.780	-0.787	1.12598947548612e-09	1.71295122755843e-10	-1.71296278376551e-10
140.193	0.816	-0.915	1.0585620989426e-09	1.56076618892364e-10	-1.56077775039225e-10
142.269	1.130	-1.26	7.1661027744035e-10	1.13597695320823e-10	-1.13598441632436e-10
144.545	0.891	-1.146	8.80914911562751e-10	1.31319175800966e-10	-1.31320109255556e-10
