Time in restframe [s],Pos. time err in restframe [s],Neg. time err in restframe [s],Luminosity [10^50 erg s^{-1}],Pos. luminosity err [10^50 erg s^{-1}],Neg. luminosity err [10^50 erg s^{-1}]
72.39485714285715,56.66857142857143,-26.430285714285713,0.0003620258324314838,8.170991521941451e-05,8.170991521941451e-05
171.92000000000002,61.73428571428571,-42.856,0.00013925377313048166,3.139357354061887e-05,3.139357354061887e-05
320.63314285714284,50.564571428571426,-86.97885714285714,8.041956882005125e-05,2.0929410860635623e-05,2.0929410860635623e-05
449.7074285714286,114.9102857142857,-78.51028571428571,5.6969738638481816e-05,1.5005546029911974e-05,1.5005546029911974e-05
637.8605714285715,55.704,-73.24285714285715,8.56768928934863e-05,2.2453907412237127e-05,2.2453907412237127e-05
760.9285714285714,95.96971428571429,-67.36342857142857,6.857468824925145e-05,1.79538560802204e-05,1.79538560802204e-05
980.8748571428571,138.21428571428572,-123.97714285714287,6.058494845335469e-05,1.3409681850403055e-05,1.3409681850403055e-05
3134.064,71.94,-92.82571428571428,7.852906037181743e-05,2.0460783008392256e-05,2.0460783008392256e-05
3327.9714285714285,115.86857142857143,-121.96685714285715,5.4608265269280544e-05,1.4301461121802117e-05,1.4301461121802117e-05
3535.9085714285716,65.53371428571428,-92.06857142857143,8.219323823747634e-05,2.1513442240249733e-05,2.1513442240249733e-05
3716.425714285714,74.13942857142857,-114.98342857142858,7.215304585901769e-05,1.827992759178414e-05,1.827992759178414e-05
4102.227428571428,321.608,-311.6622857142857,3.73268321046566e-05,7.217676381113885e-06,7.217676381113885e-06
6471.6377142857145,156.80742857142857,-149.80114285714285,4.550100535072405e-05,1.1967239535781395e-05,1.1967239535781395e-05
6861.929714285715,153.35714285714286,-233.48514285714285,3.6350707803446804e-05,9.517475247216311e-06,9.517475247216311e-06
7388.604571428572,340.1851428571428,-373.3177142857143,3.048817885580587e-05,6.504031657207198e-06,6.504031657207198e-06
10373.788571428571,661.2462857142857,-805.9274285714285,1.5967767211751802e-05,3.4604601071996986e-06,3.4604601071996986e-06
13577.664,471.88514285714285,-690.0691428571429,2.1925146234367932e-05,4.348093305449592e-06,4.348093305449592e-06
38462.23142857143,2318.7354285714287,-1684.0777142857144,4.334549020576851e-06,2.0356396353379496e-06,1.5776040902134461e-06
