READ TERR 1 2
! xrtwtslewflux
88.414547984263	1.76284201189182	-1.26001199222048	1.0289048681448e-09	1.58898574628283e-10	-1.58741135644856e-10
93.4751156099345	3.17201434297307	-3.29772561377973	9.37525985953806e-10	1.23962882592021e-10	-1.2984134235749e-10
NO NO NO NO NO NO
! xrtwtflux
105.445	1.389	-1.614	9.1287538147435e-10	1.41866980485302e-10	-1.4482971703091e-10
109.252	1.944	-2.418	7.3426209243015e-10	1.13337137870164e-10	-1.16991176004729e-10
112.966	1.702	-1.771	1.02040741794428e-09	1.69768090547732e-10	-1.76443213262414e-10
116.861	1.748	-2.192	1.1793049146285e-09	1.88910953778392e-10	-1.98351972365611e-10
121.094	3.264	-2.485	6.81025929125567e-10	1.22054808045234e-10	-1.27583124333111e-10
127.037	1.930	-2.679	8.35612617575012e-10	1.40165448978729e-10	-1.47519784270238e-10
131.826	2.621	-2.859	6.41637062483804e-10	1.08751326978994e-10	-1.14261833807529e-10
NO NO NO NO NO NO
! xrtpcflux
154.283	9.926	-12.64	7.15662448895229e-10	1.50400837557877e-10	-1.50400837557877e-10
183.022	16.289	-18.814	3.91829095779167e-10	8.78787829390161e-11	-8.78787829390161e-11
227.697	41.818	-28.386	3.01348716793766e-10	5.36732499809171e-11	-5.36732499809171e-11
3567.277	117.874	-92.741	4.17618434523959e-12	1.08670533505805e-12	-1.08670533505805e-12
3792.691	148.207	-107.54	3.34397192325551e-12	8.80958605406098e-13	-8.80958605406098e-13
4044.760	94.215	-103.863	6.05563384283389e-12	1.32880142730647e-12	-1.32880142730647e-12
4241.526	173.255	-102.55	3.04691033968423e-12	7.99089832911885e-13	-7.99089832911885e-13
4510.151	82.649	-95.371	4.67928024219187e-12	1.22307491607319e-12	-1.22307491607319e-12
4777.608	274.032	-184.808	1.79090668521672e-12	4.69160040699767e-13	-4.69160040699767e-13
5619.007	420.497	-567.367	1.52095416103372e-12	2.94057827200427e-13	-2.94057827200427e-13
9593.138	285.740	-348.611	1.31191805030769e-12	3.44238381384933e-13	-3.44238381384933e-13
10696.115	1115.888	-817.236	5.77293384508954e-13	1.31437692020032e-13	-1.31437692020032e-13
26571.979	52946.180	-11558.057	1.20437872372637e-13	2.22942950903116e-14	-2.22942950903116e-14
NO NO NO NO NO NO
! batSNR4flux
9.68099997290543	0.56	-0.56	3.2471731954032e-09	7.46101126564059e-10	-7.46101126564059e-10
10.8009999734163	0.56	-0.56	2.93374046847176e-09	6.65091424260269e-10	-6.65091424260269e-10
55.3009999727463	5.77999999999996	-5.77999999999996	7.10993728878535e-09	1.48289990638885e-09	-1.48289990638885e-09
61.3409999753879	0.26	-0.26	3.78635977971904e-08	8.88061356072678e-09	-8.88061356072678e-09
69.6009999728206	7.99999999999992	-7.99999999999992	3.46256959507789e-09	7.98446993580953e-10	-7.98446993580953e-10
