READ TERR 1 2
! xrtwtflux
128.863	1.712	-2.094	6.26586674330411e-10	1.17708336821475e-10	-1.17719666501128e-10
132.768	2.323	-2.194	5.15849820858596e-10	1.0269735040577e-10	-1.02703177295958e-10
138.174	2.196	-3.083	4.53147905859383e-10	9.02132037901901e-11	-9.0216475604976e-11
143.633	2.792	-3.263	4.15239749414999e-10	8.02828343173821e-11	-8.02845970583237e-11
149.308	2.164	-2.884	4.97560680746075e-10	9.9054131818453e-11	-9.90555250747738e-11
153.787	2.277	-2.315	5.19958816999756e-10	1.09896052991674e-10	-1.09897278144587e-10
158.137	2.122	-2.073	5.8099132429927e-10	1.19148759627612e-10	-1.19150387909024e-10
163.253	2.459	-2.994	4.27510486143467e-10	9.03568735698554e-11	-9.03582286017367e-11
167.679	1.849	-1.967	5.00217323576427e-10	1.23915717334742e-10	-1.2391734832073e-10
172.023	2.227	-2.495	4.80669826216555e-10	8.77591613165056e-11	-8.77613056727148e-11
176.415	1.361	-2.165	5.65644051899121e-10	1.1260999597654e-10	-1.12613244007011e-10
179.391	1.951	-1.615	5.54327944110623e-10	1.12371941983437e-10	-1.12375018069692e-10
183.651	1.496	-2.31	7.18299317870136e-10	1.17916487922315e-10	-1.17921633928702e-10
187.502	2.235	-2.355	4.73528376164448e-10	9.79421704920136e-11	-9.79448042094974e-11
191.996	2.083	-2.258	6.04966438902993e-10	9.36806608350151e-11	-9.36845674651641e-11
196.082	2.199	-2.003	3.80152941583115e-10	8.03481512413621e-11	-8.03498448274933e-11
199.966	1.837	-1.686	4.2579623769842e-10	9.57329676127112e-11	-9.57350112905191e-11
203.718	1.782	-1.915	3.74547033673304e-10	9.2784580223664e-11	-9.2786099748229e-11
207.549	2.008	-2.048	5.26002852148428e-10	9.96732627911397e-11	-9.96759172055949e-11
211.670	1.493	-2.114	3.93624240647847e-10	8.84994219747565e-11	-8.85011103643215e-11
NO NO NO NO NO NO
! xrtpcflux
1268.704	113.235	-77.322	6.07571629431202e-12	1.36981748926141e-12	-1.36981748926141e-12
1524.480	105.684	-142.541	3.40721407759099e-12	8.90233496354221e-13	-8.90233496354221e-13
1856.789	204.626	-226.625	2.53649502585257e-12	5.80371045091436e-13	-5.80371045091436e-13
5776.923	789.210	-469.464	5.99932152867559e-13	1.61333978215564e-13	-1.61333978215564e-13
7121.091	713.726	-554.958	6.54407656830521e-13	1.64333152372464e-13	-1.64333152372464e-13
12256.625	1350.778	-1241.77	4.38465633768747e-13	8.84407185097551e-14	-8.84407185097551e-14
101811.034	2868.614	-4067.499	3.04611647649335e-13	8.19078564424999e-14	-8.19078564424999e-14
110074.695	6003.714	-823.28	1.19015497259293e-13	6.501637310256e-14	-4.80211963727949e-14
NO NO NO NO NO NO
! batSNR4flux
6.50099997960604	1.3	-1.3	4.01687928741931e-08	9.9510587295242e-09	-9.9510587295242e-09
