#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Trig_time_met: The BAT trigger time shown in the Swift machine time (MET), in unit of sec.
## Trig_time_UTC: The BAT trigger time shown in UTC.
## RA_ground: RA of the GRB from the BAT refined position, in unite of deg.
## DEC_ground: DEC of the GRB from the BAT refined position, in unit of deg.
## Image_position_err: The uncertainty of the BAT refined position, in unit of arcmin.
## Image_SNR: The signal-to-noise ratio of the detection from the BAT image.
## T90: Burst duration T90, in unit of sec.
## T90_err: The uncertainty of T90.
## T50: Burst duration T90, in unit of sec.
## T50_err: The uncertainty of T50.
## Evt_start_sincetrig: The time when the event data start, relative to the BAT trigger time, in unit of sec.
## Evt_stop_sincetrig: The time when the event data end, relative to the BAT trigger time, in unit of sec.
## pcode: Partial coding fraction of the burst.
## Trigger_method: The triggering method for the burst (rate trigger, image trigger, ground detected, or ground detected during slew).
## XRT_detection: Whether or not there is an XRT detection of the burst.
## comment: Other special comments.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | Trig_time_met |       Trig_time_UTC        |  RA_ground   |  DEC_ground   | Image_position_err |   Image_SNR  |     T90      |   T90_err    |     T50      |   T50_err    | Evt_start_sincetrig | Evt_stop_sincetrig | pcode  | Trigger_method | XRT_detection | comment
GRB200512A   |    971846    | 611008420.864 | 2020-05-12T20:33:15.934300 | 7.417846e+00 | -2.218813e+00 |    1.487260e+00    | 1.725247e+01 | 7.400000e+01 | 1.431782e+01 | 2.600000e+01 | 8.246211e+00 |         -240        |         962       | 1.0312 | rate trigger | Yes |    
GRB200509A   |    970886    | 610699662.336 | 2020-05-09T06:47:17.426340 | 1.164149e+02 | -4.634015e+00 |    1.705200e+00    | 1.419093e+01 | 8.282280e+02 | 1.338256e+01 | 6.080000e+02 | 2.094060e+02 |         -239        |         963       | 0.3984 | rate trigger | Yes |    
GRB200425A   |    967774    | 609466606.592 | 2020-04-25T00:16:21.762420 | 8.521738e+01 | -1.339947e+01 |    1.950646e+00    | 1.171056e+01 | 8.100000e+01 | 2.166218e+01 | 2.800000e+01 | 1.019804e+01 |         -240        |         962       | 1.0156 | rate trigger | Yes |    
GRB200416A   |    966554    | 608713541.952 | 2020-04-16T07:05:17.171400 | 3.356935e+02 | -7.526944e+00 |    1.339182e+00    | 2.004099e+01 | 6.048000e+00 | 9.786521e-01 | 3.184000e+00 | 6.092619e-01 |         -240        |         962       | 0.3398 | rate trigger | Yes |    
GRB200411A   |    965784    | 608272167.208 | 2020-04-11T04:29:02.456140 | 4.768611e+01 | -5.232041e+01 |    1.634272e+00    | 1.507889e+01 | 2.199999e-01 | 4.472132e-02 | 1.199999e-01 | 1.788847e-02 |         -239        |         963       | 1.0156 | rate trigger | Yes |    
GRB200410A   |    965638    | 608178335.168 | 2020-04-10T02:25:10.422240 | 2.996441e+02 |  5.174202e+01 |    2.882486e+00    | 6.703599e+00 | 1.087200e+02 | 4.072945e+01 | 3.656000e+01 | 2.263240e+01 |         -239        |         963       | 0.5391 | rate trigger | Yes |    
GRB200409A   |    965484    | 608095224.512 | 2020-04-09T03:19:59.771640 | 6.055562e+01 | -5.024456e+01 |    2.701478e+00    | 7.354359e+00 | 1.600000e+01 | 5.099020e+00 | 1.100000e+01 | 4.472136e+00 |         -240        |         963       | 0.7500 | rate trigger | Yes |    
GRB200324A   |    963260    | 606760772.608 | 2020-03-24T16:39:07.954400 | 2.226611e+02 |  3.592223e+01 |    1.448777e+00    | 1.791085e+01 |     N/A      |      N/A     |    N/A       |     N/A      |         -240        |         962       | 1.0000 | rate trigger | Yes |    
GRB200306C   |    960102    | 605227863.616 | 2020-03-06T22:50:39.061800 | 1.985777e+02 |  1.126316e+01 |    1.275437e+00    | 2.148706e+01 | 5.315200e+01 | 1.372531e+01 | 1.905600e+01 | 3.822569e+00 |         -240        |         1065       | 0.4297 | rate trigger | Yes |    
GRB200306A   |    959917    | 605146804.736 | 2020-03-06T00:19:40.187060 | 1.011133e+02 | -6.200985e+01 |    6.256628e-01    | 5.943754e+01 | 3.296400e+01 | 1.109263e+00 | 1.301200e+01 | 3.089336e-01 |         -240        |         962       | 0.7500 | rate trigger | Yes |    
GRB200303A   |    959431    | 604895721.984 | 2020-03-03T02:34:57.451340 | 2.126966e+02 |  5.135930e+01 |    7.613261e-01    | 4.490587e+01 | 9.422000e+01 | 6.395724e+00 | 2.875600e+01 | 1.244521e+00 |         -240        |         962       | 0.5938 | rate trigger | Yes |    
GRB200228B   |    958733    | 604581305.664 | 2020-02-28T11:14:41.151740 | 2.520074e+02 |  1.696378e+01 |    2.468189e+00    | 8.367155e+00 | 7.368000e+00 | 1.575558e+00 | 3.768000e+00 | 1.594873e+00 |         -240        |         303       | 0.3125 | rate trigger | Yes |    
GRB200227A   |    958592    | 604480832.512 | 2020-02-27T07:20:08.006260 | 5.643294e+01 |  9.489893e+00 |    6.660455e-01    | 5.435702e+01 | 3.032800e+01 | 9.202282e+00 | 8.888000e+00 | 4.083331e-01 |         -240        |         963       | 0.4648 | rate trigger | Yes |    
GRB200224A   |    958141    | 604207513.792 | 2020-02-24T03:24:49.304000 | 2.487434e+02 |  4.166579e+01 |    3.501921e+00    | 5.076189e+00 | 4.500000e+01 | 9.219544e+00 | 3.000000e+01 | 2.009975e+01 |         -240        |         962       | 1.0156 | rate trigger | Yes |    
GRB200219A   |    957271    | 603790633.600 | 2020-02-19T07:36:49.139100 | 3.425947e+02 | -5.910125e+01 |    2.368953e+00    | 8.872333e+00 | 2.880000e+02 | 5.059644e+01 | 1.440000e+02 | 5.059644e+01 |         -240        |         962       | 0.9922 | rate trigger | Yes |    
