GRB	Time [UT]	Trigger Number	BAT T90 [sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
090313	09:06:27	346386	79	1.91, PL	13:13:36.25	08:05:50.2	3.375 (Gemini-South: absorption)|3.375 (VLT: absorption)|3.3721 (Melipal: absorption)
090205	23:03:14	342121	8.8	2.15, PL	14:43:38.61	-27:51:10.4	4.7 (ESO/MPI: photometric)|4.6497 (VLT: absorption)
090113	18:40:39	339852	9.1	1.60, PL	02:08:13.80	33:25:42.3	1.7493 (TOUGH: emission)
090102	02:55:45	338895	27.0	1.36, PL	08:32:58.56	33:06:51.0	1.547 (NOT)|1.546 (Palomar 200": absorption)|1.55 (Hobby-Eberly: absorption)
081222	04:53:59	337914	24	1.08, CPL	01:30:57.69	-34:05:43.0	~2.7 (UVOT)|2.77 (Gemini-South: absorption)|2.77 (Gemini-North: absorption)
081221	16:21:11	337889	34	1.21, CPL	01:03:10.25	-24:32:53.3	2.26 (Salvaterra)
081203A	13:57:11	336489	294	1.54, PL	15:32:07.71	63:31:15.0	2.1 (UVOT: absorption)
081121	20:35:32	335105	14	0.43, CPL	05:57:06.09	-60:36:10.0	2.512 (Magellan/Clay: aborption)
081118	14:56:36	334877	67	2.10, PL	05:30:22.14	-43:18:04.0	2.58 (VLT: absorption)
081029	01:43:56	332931	270	1.43, PL	23:07:05.58	-68:09:20.2	3.8479 (VLT: absorption, host)|3.847 (Gemini-South: absorption)
081028A	00:25:00	332851	260	1.25, PL	08:07:34.76	02:18:29.8	3.038 (Magellan/Clay: absorption)
081008	19:58:09	331093	185.5	1.69, PL	18:39:49.92	-57:25:54.7	1.9685 (VLT: absorption)|1.967 (Gemini-South: absorption)
081007	05:23:52	330856	10.0	2.51, PL	22:39:50.48	-40:08:49.6	0.5295 (Gemini-South: absorption)
080928	15:01:32	326115	280	1.77, PL	06:20:16.82	-55:11:58.8	1.692 (VLT: absorption)|1.69 (Gemini-South: absorption)
080916A	09:45:20	324895	60	1.17, CPL	22:25:06.33	-57:01:22.7	0.689 (VLT: absorption and emission)
080913	06:46:54	324561	8	0.46, CPL	04:22:54.71	-25:07:46.7	6.44 (ESO/MPI: photometric)|6.7 (VLT)
080906	13:33:16	323984	147	1.59, PL	15:12:10.84	-80:31:05.1	2.0 (UVOT: photometric)
080905B	16:55:45	323898	128	1.78, PL	20:06:57.93	-62:33:46.3	2.374 (VLT: absorption)
080905A	11:58:54	323870	1.0	0.85, PL	19:10:41.78	-18:52:48.6	0.1218 (emission from host)
080810	13:10:12	319584	106	1.34, PL	23:47:10.54	00:19:11.2	3.35 (Keck: absorption)|3.35 (RTT150: absorption)|3.35 (NOT: absorption)
080805	07:41:34	319036	78	1.53, PL	20:56:53.45	-62:26:40.7	1.505 (VLT: absorption)
080804	23:20:14	319016	34	1.19, PL	21:54:40.11	-53:11:05.3	2.2045 (VLT: absorption)|2.20 (Gemini-South: absorption)
080721	10:25:16	317508	16.2	1.11, PL	14:57:55.85	-11:43:24.9	2.602 (TNG: absorption)|2.591 (NOT: absorption)
080710	07:13:10	316534	120	1.47, PL	00:33:05.64	19:30:05.7	0.845 (Gemini-South: absorption)
080707	08:27:53	316204	27.1	1.77, PL	02:10:28.41	33:06:34.2	1.23 (VLT: absorption)
080607	06:07:27	313417	79	1.31, PL	12:59:47.21	15:55:09.4	3.036 (Keck I)
080605	23:47:57	313299	20	1.11, CPL	17:28:30.05	04:00:56.4	1.6398 (VLT: absorption)
080604	07:27:01	313116	82	1.78, PL	15:47:51.68	20:33:28.3	1.416 (Gemini-North: absorption)
080603B	19:38:13	313087	60	1.21, CPL	11:46:07.62	68:03:39.5	2.69 (NOT)|2.69 (Hobby-Eberly: absorption)
080520	22:20:24	312047	2.8	2.90, PL	18:40:46.35	-54:59:30.5	1.545 (VLT: emission)
080516	00:17:07	311762	5.8	1.82, PL	08:02:34.20	-26:09:35.3	3.2 (MPI/ESO: photometric)
080430	19:53:02	310613	16.2	1.73, PL	11:01:14.73	51:41:07.8	~0.75 (Calar Alto: absorption, probable)|0.767 (Hobby-Eberly: absorption)
080413B	08:51:12	309111	8.0	1.26, CPL	21:44:34.59	-19:58:51.7	1.10 (VLT: absorption)|1.10 (Gemini-South: absorption)
080413A	02:54:19	309096	46	1.57, PL	19:09:11.69	-27:40:40.0	2.433 (VLT: absorption)|2.43 (Gemini-South: absorption)
080411	21:15:32	309010	56	1.75, PL	02:31:54.84	-71:18:08.8	1.03 (VLT: absorption)
080330	03:41:16	308041	61	2.53, PL	n/a	n/a	1.51 (NOT: absorption)|1.51 (Hobby-Eberly: absorption)
080319C	12:25:56	306778	34	1.37, PL	17:15:55.46	55:23:31.4	1.95 (Gemini-North: absorption)
080319B	06:12:49	306757	>50	1.04, PL	14:31:41.04	36:18:08.7	0.937 (VLT Kueyen: absorption)|0.937 (Hobby-Eberly: absorption)
080310	08:37:58	305288	365	2.32, PL	14:40:13.83	-00:10:30.7	2.4266 (Lick: absorption)|2.42 (Magellan: absorption)|2.43 (VLT-Kueyen: absorption)|2.4266 (Keck: absorption)
080210	07:50:05	302888	45	1.77, PL	16:45:04.01	13:49:36.2	2.641 (VLT: absorption)|2.64 (Hobby-Eberly: absorption)
080207	21:30:21	302728	340	1.17, CPL	13:50:02.93	07:30:07.9	2.0858 (TOUGH: emission)
071227	20:13:47	299787	1.8	0.99, PL	03:52:31.20	-55:59:03.1	0.383 (VLT: emission, host redshift)|0.384 (Magellan: emission, host redshift)
071122	01:23:25	297114	68.7	1.77, PL	18:26:25.26	47:04:30.5	1.14 (Gemini North: absorption)
071117	14:50:06	296805	6.6	1.57, PL	22:20:10.54	-63:26:35.9	1.331 (VLT: emission)
071112C	18:32:57	296504	15	1.09, PL	02:36:50.97	28:22:16.7	0.8230 (VLT: absorption)|0.823 (Gemini North: absorption)
071031	01:06:36	295670	180	2.42, PL	00:25:37.38	-58:03:33.1	2.692 (VLT)
071028B	02:43:46	295492|Ground Analysis	55	1.45, PL	n/a	n/a	0.94 (Paranal: host, photometric)
071021	09:41:33	294974	225	1.70, PL	n/a	n/a	2.4520 (TOUGH: emission)
071020	07:02:26	294835	4.2	1.11, PL	n/a	n/a	>2.145 (VLT: absorption)|2.142 (BTA: absorption)
071010B	20:45:47	293795	>35.7	1.53, CPL	n/a	n/a	0.947 (Gemini North: absorption)|0.947 (Keck I: absorption)|0.947 (Keck II: absorption)
071010A	03:41:12	293707	6	2.33, PL	n/a	n/a	0.98 (Keck I: absorption)
071003	07:40:55	292934	150	1.36, PL	n/a	n/a	1.100 (Keck I: absorption)|>0.937 (VLT: absorption)
070810A	02:11:52	287364	11.0	2.04, PL	12:39:51.24	10:45:03.2	2.17 (Keck I: absorption)
070802	07:07:25	286809	16.4	1.79, PL	02:27:35.78	-55:31:39.5	2.45 (VLT)
070724A	10:53:50	285948	0.4	1.81, PL	01:51:14.05	-18:35:39.9	0.457 (Gemini South: emission, from host)|0.457 (VLT: emission, from host)
070721B	10:33:48	285654	340	1.34, PL	02:12:32.93	-02:11:39.6	proposed redshift 3.626 (VLT)
070714B	04:59:29	284856	64	1.36, PL	03:51:22.23	28:17:51.2	0.92 (Gemini: emission, from host)
070612A	02:38:46	282066	368.800	1.69, PL	n/a	n/a	0.617 (Gemini North: emission)
070611	01:57:14	282003	12.200	1.66, PL	00:07:58.12	-29:45:20.4	2.04 (VLT)
070529	12:48:28	280706	109.200	1.34, PL	18:54:58.27	20:39:33.7	2.4996 (Gemini North: absorption)
070521	06:51:11	279935	37.900	1.1, CPL	16:10:38.62	30:15:22.4	0.553 (Subaru: emission)
070508	04:18:18	278854	20.900	1.1, CPL	20:51:11.81	-78:23:04.9	0.82 (VLT: emission, tentative)
070506	05:35:58	278693	4.300	1.73, PL	23:08:52.31	10:43:20.8	2.31 (VLT: absorption)
070429B	03:09:04	277582	0.470	1.72, PL	21:52:03.81	-38:49:42.0	0.904 (Keck I: from probable host)
070419A	09:59:26	276205	115.600	2.35, PL	12:10:58.84	39:55:31.2	0.97 (Keck I: absorption)
070411	20:12:33	275087	121.500	1.72, PL	07:09:20.01	01:03:52.3	2.954 (VLT: absorption)
070318	07:28:56	271019	74.600	1.42, PL	03:13:56.77	-42:56:47.3	0.836 (VLT: absorption)|0.840 (Gemini/Magellan: absorption)
070306	16:41:28	263361	209.500	1.66, PL	09:52:23.29	10:28:55.5	possible redshift:|1.497 (VLT: emission)
070208	09:10:34	259714	47.700	1.94, PL	13:11:32.61	61:57:54.3	1.165 (Gemini-North: emission)
070129	23:35:10	258408	460.600	2.01, PL	02:28:00.98	11:41:03.4	2.3384 (TOUGH: emission)
070110	07:22:42	255445	88.400	1.58, PL	00:03:39.38	-52:58:28.1	2.352 (VLT: absorption)
070103	20:46:39	254532	18.600	1.95, PL	23:30:13.80	26:52:34.4	2.6208 (TOUGH: emission)
061222B	04:11:02	252593	40.000	1.97, PL	07:01:24.67	-25:51:35.2	3.355 (Magellan: absorption)
061222A	03:28:52	252588	71.400	1.35, PL	23:53:03.45	46:31:57.7	2.088 (Perley)
061217	03:40:08	251634	0.210	0.86, PL	10:41:39.10	-21:07:26.9	0.827 (Magellan: emission)
061210	12:20:39	243690	85.300	1.56, PL	n/a	n/a	0.41 possible host redshift (Keck: emission)
061201	15:58:37	241840	0.760	0.81, PL	22:08:32.30	-74:34:48.3	0.111 (Magellan, from probable host)
061121	15:22:29	239899	81.300	1.41, PL	09:48:54.59	-13:11:42.1	1.314 (Keck I: absorption)
061110B	21:58:46	238174	134.000	1.03, PL	21:35:40.48	06:52:32.8	3.44 (VLT)
061110A	11:47:21	238108	40.700	1.67, PL	22:25:9.89	-02:15:30.4	0.758 (VLT: emission)
061021	15:39:08	234905	46.200	1.30, PL	09:40:36.11	-21:57:05.3	0.3463 (Fynbo)
061007	10:08:09	232683	75.300	1.03, PL	03:05:19.60	-50:30:02.4	1.261 (Magellan Clay: absorption)|1.262 (VLT: absorption)
060927	14:07:35	231362	22.500	0.9, CPL	21:58:12.05	05:21:49.0	5.6 (VLT: absorption)
060926	16:48:42	231231	8.000	2.54, PL	17:35:43.68	13:02:17.1	3.208 (VLT: absorption)
060912A	13:55:54	229185	5.000	1.74, PL	00:21:08.13	20:58:18.5	probably host redshift:|0.937 (VLT: emission)
060908	08:57:22	228581	19.300	1.0, CPL	02:07:18.42	00:20:32.2	1.8836 (Fynbo)
060906	08:32:47	228316	43.500	2.03, PL	02:43:00.88	30:21:42.7	3.685 (VLT: absorption)
060904B	02:31:04	228006	171.500	1.64, PL	03:52:50.54	-00:43:30.1	0.703 (VLT: absorption)
060814	23:02:19	224552	145.300	1.53, PL	14:45:21.36	20:35:09.2	0.84 (Keck I: emission, from host)
060729	19:12:29	221755	115.300	1.75, PL	06:21:31.79	-62:22:12.5	0.54 (VLT, Gemini South: absorption)
060719	06:50:37	220020	66.900	1.91, PL	01:13:43.70	-48:22:50.6	1.5320 (TOUGH: emission)
060714	15:12:00	219101	115.000	1.93, PL	15:11:26.46	-06:33:58.8	2.71 (VLT: absorption)
060708	12:15:59	217805	10.200	1.68, PL	00:31:13.80	-33:45:32.6	Z<2.3 (VLT)
060707	21:30:19	217704	66.200	0.6, CPL	23:48:19.07	-17:54:18.0	3.43 (VLT: absorption)
060614	12:43:49	214805	108.700	2.02, PL	21:23:32.12	-53:01:36.6	0.13 (Gemini: emission)|0.125 (VLT: emission)
060607A	05:12:13	213823	102.200	1.47, PL	21:58:50.41	-22:29:47.0	3.082 (VLT: absorption)
060605	18:15:45	213630	79.100	1.55, PL	21:28:37.31	-06:03:30.7	3.8 (ANU: absorption)|3.7 (SALT: absorption)|3.78 (Calar Alto)
060604	18:19:00	213486	95.000	2.01, PL	22:28:55.04	-10:54:56.2	2.1357 (TOUGH: emission)
060602A	21:32:12	213180	75.000	1.25, PL	n/a	n/a	0.787 (VLT: emission, probable)
060526	16:28:30	211957	298.200	2.01, PL	15:31:18.33	00:17:05.4	3.21 (Magellan: absorption)
060522	02:11:19	211117	71.100	1.56, PL	21:31:44.88	02:53:10.1	5.11 (Keck I: absorption)
060512	23:13:21	209755	8.500	2.48, PL	13:03:05.81	41:11:26.3	0.4428 (Keck I: emission)
060510B	08:22:15	209352	275.200	1.78, PL	15:56:29.26	78:34:11.6	4.9 (Gemini)
060505	06:36:01	208654	~4	1.29, PL	22:07:03.32	-27:48:53.0	0.089 (Gemini: emission)
060502B	17:24:41	208275	0.131	0.98, PL	18:35:45.23	52:37:53.5	0.287 (Keck I-candidate: absorption)
060502A	03:03:32	208169	28.400	1.46, PL	16:03:42.47	66:36:02.6	~1.51 (Gemini: absorption)
060418	03:06:08	205851	103.100	1.70, PL	15:45:42.64	-03:38:20.4	1.490 (Magellan: absorption)|1.489 (VLT: absorption)
060223A	06:04:24	192059	11.300	1.74, PL	03:40:49.56	-17:07:49.7	4.41 (Keck: absorption)
060218	03:34:31	191157	~2100	2.26, PL	03:21:39.69	16:52:01.6	0.0331 (MDM: emission)|0.033 (VLT: emission)|0.033 (Gemini: emission)|0.033 (BTA: emission)|0.033 (Keck I: emission)
060210	04:58:50	180977	255.000	1.53, PL	03:50:57.40	27:01:34.0	3.91 (Gemini: absoption)
060206	04:46:53	180455	7.600	1.2, CPL	13:31:43.45	35:03:03.2	4.045 (NOT: absorption)|4.048 (Lick: absorption)|4.05 (Subaru: absorption)
060124	15:54:52	178750	~750	1.84, PL	05:08:25.86	69:44:26.4	2.30 (MDM: absorption)|2.297 (Keck/ESI: absorption)|2.296 (Keck/LRIS: absorption)
060123	22:22:40	Ground Analysis|20028	900	1.9 (PL)  	11:58:47.95	45:30:49.6	1.099 (probable, Gemini: emission)
060116	08:37:27	177533	105.900	1.43, PL	05:38:46.25	-05:26:13.3	~4.0 or ~6.6 (VLT: photometric)
060115	13:08:01	177408	139.600	1.0, CPL	03:36:08.32	17:20:43.1	3.53 (VLT: absoprtion)
060108	14:39:12	176453	14.300	2.03, PL	09:48:02.06	31:55:06.9	2.03 (Liverpool: photometric)
051221A	01:51:16	173780	1.400	1.39, PL	21:54:48.62	16:53:26.5	0.547 (Gemini: emission)
051117B	13:22:54	164279	9.000	1.53, PL	05:40:43.37	-19:16:27.2	0.481 (TOUGH: emission)
051111	05:59:41	163438	46.100	1.32, PL	23:12:33.08	18:22:28.6	1.549 (Keck: absorption)
051109B	08:39:39	163170	14.300	1.97, PL	23:01:50.36	38:40:46.7	0.080 (Keck I: emission)
051109A	01:12:21	163136	37.200	1.51, PL	22:01:15.33	40:49:23.2	2.346 (HET: absorption)
051016B	18:28:09	159994	4.000	2.40, PL	08:48:27.85	13:39:20.4	0.9364 (Keck: emission)
051006	20:30:33	158593	34.800	1.51, PL	07:23:14.14	09:30:20.0	1.059 (TOUGH: emission)
051001	11:11:36	157870	189.100	2.05, PL	23:23:48.72	-31:31:23.4	2.4296 (TOUGH: emission)
050922C	19:55:50	156467	4.500	1.37, PL	21:09:33.08	-08:45:30.2	2.198 (NOT: absorption)|2.198 (TNG: absorption)|2.199 (VLT: absorption)
050915A	11:22:42	155242	52.000	1.39, PL	05:26:44.81	-28:00:59.4	2.5273 (TOUGH: emission)
050908	05:42:31	154112	19.400	1.88, PL	01:21:50.70	-12:57:18.0	3.350 (VLT: absorption)|3.3437 (GMOS: absorption)|3.3440 (Keck: absorption)
050904	01:51:44	153514	174.200	1.25, PL	n/a	n/a	6 < z < 8 (SOAR, UNC: photometric)|6.10 (VLT: photometric)|6.29 (Subaru: absorption)
050826	06:18:10	152113	35.500	1.16, PL	05:51:01.56	-02:38:35.9	0.297 (MDM: emission from host)
050824	23:12:16	151905	22.600	2.76, PL	00:48:56.21	22:36:33.1	0.83 (VLT: emission)
050820A	06:34:53	151207	26	1.25, PL	22:29:38.12	19:33:37.0	2.612 (Keck: absorption)|2.6147 (VLT: absorption)
050819	16:23:55	151131	37.700	2.71, PL	23:55:01.62	24:51:39.0	2.5043 (TOUGH: emission)
050814	11:38:57	150314	150.900	1.80, PL	17:36:45.38	46:20:22.0	5.3 (NOT: photometric)
050813	06:45:10	150139	0.450	1.28, PL	16:07:56.97	11:14:57.1	1.8
050803	19:14:00	148833	87.900	1.38, PL	23:22:37.85	05:47:08.5	possible redshift:|0.422 (Keck: emission)
050802	10:08:02	148646	19.000	1.54, PL	14:37:05.85	27:47:11.8	1.71 (NOT: absorption)|1.434 (TOUGH: emission)
050730	19:58:23	148225	156.500	1.53, PL	14:08:17.18	-03:46:18.1	3.96855 (Magellan II: absorption)|3.97 (WHT: absorption)|3.968 (VLT: absorption)
050724	12:34:09	147478	96.000	1.89, PL	16:24:44.33	-27:32:27.2	0.257 (GMOS: absorption)|0.258 (Keck: absorption)
050525A	00:02:53	130088	8.800	1.0, CPL	18:32:32.67	26:20:21.6	0.606 (GMOS: emission)
050509B	04:00:19	118749	0.073	1.57, PL	12:36:13.85	28:59:03.7	0.225 (Keck: absorption)
050505	23:22:21	117504	58.900	1.41, PL	09:27:03.33	30:16:24.4	4.27 (Keck: absorption)
050416A	11:04:44	114753	2.500	3.08, PL	12:33:54.64	21:03:26.8	0.6535 (Keck: emission)
050406	15:58:48	113872	5.400	2.43, PL	02:17:52.09	-50:11:17.1	2.44 (UVOT: photometric)
050401	14:20:15	113120	33.300	1.40, PL	n/a	n/a	2.9 (VLT: absorption)
050319	09:31:18	111622	152.500	2.02, PL	10:16:47.90	43:32:54.5	3.24 (NOT: absorption)
050318	15:44:37	111529	32	1.90, PL	03:18:51.09	-46:23:45.8	1.44 (Magellan: absorption)
050315	20:59:43	111063	95.600	2.11, PL	20:25:54.14	-42:36:01.5	1.949 (Magellan: absorption)
050223	03:09:06	106709	22.500	1.85, PL	18:05:32.43	-62:28:20.0	0.5915 (Magellan: emission from host)|0.584 (VLT: emission from host)
050126	12:00:54	103780	24.800	1.34, PL	n/a	n/a	1.29 (Keck: emission)
