GRB	Time [UT]	Trigger Number	BAT T90 [sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
151215A	03:01:28	667392	17.8	1.99, PL	06:14:20.20	35:30:57.9	2.59 (NOT: absorption)
151112A	13:44:48	663179	19.32	1.77, PL	00:08:12.88	-61:39:47.8	4.1 (MPG: photometric)
151111A	08:33:23	663074	76.93	0.79, CPL	03:47:22.75	-44:09:41.3	3.5 (MPG: photometric)
151031A	05:50:30	662330	5.00	2.41, PL	05:32:47.00	-39:07:18.6	1.167 (VLT: absorption)
151029A	07:49:39	662086	8.95	0.49, CPL	02:34:06.72	-35:23:08.1	1.423 (VLT: absorption)
151027B	22:40:40	661869	80.00	1.83, PL	05:04:52.67	-06:27:00.7	4.063 (VLT: absorption)
151027A	03:58:24	661775	129.69	1.72, PL	18:09:56.85	61:21:11.9	0.38 (XRT: tentative)|0.81 (Keck: absorption)|0.81 (GMG: absorption)
151021A	01:29:12	660671	110.2	1.57, PL	22:30:34.43	-33:11:50.3	2.330 (VLT: absorption)
150915A	21:18:24	655721	164.7	2.51, PL	21:18:38.01	-34:54:49.1	1.968 (VLT: absorption)
150910A	09:04:48	655097	112.2	1.42, PL	00:22:40.16	33:28:22.7	1.359 (Lick: absorption)|1.360 (GTC: absorption)
150821A	09:44:00	652847	172.1	2.10, PL	22:47:39.13	-57:53:38.1	0.755 (VLT: absorption)
150818A	11:36:32	652603	123.3	1.96, PL	15:21:25.44	68:20:31.3	0.282 (GTC: emission from possible host)
150727A	19:02:02	650530	88	1.14, PL	13:35:52.51	-18:19:32.5	0.313 (VLT: emission)
150424A	07:42:57	638946	91	1.23, PL	10:09:13.35	-26:37:51.3	<3 (GTC)
150423A	06:28:04	638808	0.22	0.84, PL	14:46:18.96	12:17:00.6	1.394 (VLT: absorption, tentative)
150413A	13:54:58	637899	263.6	1.75, PL	n/a	n/a	3.2 (CAHA: absorption)|3.139 (Asiago: absorption)
150403A	21:54:16	637044	40.90	1.23, PL	20:46:01.17	-62:42:40.4	2.06 (VLT: absorption)
150323A	02:49:14	635887	149.6	1.85, PL	08:32:42.74	45:27:52.8	0.593 (Keck I: absorption and emission)
150314A	04:55:16	634795	14.79	1.08, PL	08:26:40.90	63:50:03.5	1.758 (GTC: absorption)
150301B	19:38:04	633180	12.44	1.46, PL	05:56:39.98	-57:58:10.7	1.5169 (VLT: absorption)
150206A	14:30:02	630019	83.2	1.33, PL	00:40:17.67	-63:10:56.2	2.087 (VLT: absorption)
