READ TERR 1 2
! batSNR4flux
0.0210000467300415	0.02	-0.02	7.77153409555535e-08	7.40453466657035e-09	-7.40453466657035e-09
0.0610000085830689	0.02	-0.02	1.03376522992565e-08	1.48942905002646e-09	-1.48942905002646e-09
0.101000089645386	0.02	-0.02	2.49145692959356e-09	3.94685591083868e-10	-3.94685591083868e-10
0.141000051498413	0.02	-0.02	8.32963320546575e-09	1.2434422098328e-09	-1.2434422098328e-09
0.18100001335144	0.02	-0.02	1.41270667211501e-08	3.10121137931686e-09	-3.10121137931686e-09
0.221000094413757	0.02	-0.02	3.96135613168452e-08	8.6495434768017e-09	-8.6495434768017e-09
NO NO NO NO NO NO
! xrtpcflux_nosys
124.370	24.820	-22.819	3.76796173056178e-11	8.50357737142485e-12	-8.50357737142485e-12
176.588	27.764	-27.398	3.22418954910015e-11	7.24948667292268e-12	-7.24948667292268e-12
233.155	41.402	-28.803	1.78355739368106e-11	4.01815326049073e-12	-4.01815326049073e-12
312.067	52.753	-37.511	1.01563336715559e-11	2.2839286173833e-12	-2.2839286173833e-12
432.174	135.741	-67.353	3.49654098982548e-12	8.82444067306307e-13	-8.82444067306307e-13
1799.939	62470.144	-1232.024	1.14797320207153e-13	2.58866240656089e-14	-2.58866240656089e-14
